Date,Mean Score,Median Score,Tweets,Retweets,Standard Deviation,Top 15
2019-01-13,-0.012987012987012988,-0.012987012987012988,1,1,0.0,"['colston', 'monument', 'bristol', 'cathedral', 'tremendous', 'inside', 'edmund', 'burke', 'edward', 'modern', 'slavery', 'around', 'base', 'statue', 'exploration']"
2019-01-08,-0.061224489795918366,-0.061224489795918366,1,6,0.0,"['bristolcolston', 'statue', 'pointing', 'modern', 'day', 'slavery']"
2019-01-05,0.02877697841726619,0.02877697841726619,1,9,0.0,"['incredibly', 'powerful', 'poignant', 'intervention', 'colston', 'statue', 'bristol', 'contestedheritage', 'he_southwest', 'countercolston', 'colonialcountr1', 'davidolusoga']"
2020-06-16,-0.005616696671364913,0.0,360,501,0.031667565801628814,"['statue', 'colston', 'bristol', 'edward', 'plinth', 'new', 'next', 'colstonstatue', 'appeared', 'people', 'man', 'colstonempty', 'statues', 'one', 'slavery']"
2020-06-08,-0.011067304195474855,-0.005376344086021506,13683,75490,0.03186511544935323,"['statue', 'colston', 'bristol', 'edward', 'slave', 'people', 'colstonstatue', 'history', 'city', 'trader', 'via', 'replace', 'petition', 'council', 'sign']"
2020-06-25,-0.008647483108429384,-0.008118341676293158,114,407,0.033729137105004636,"['statue', 'colston', 'edward', 'bristol', 'people', 'police', 'colstonstatue', 'history', 'amp', 'statues', 'made', 'blm', 'slave', 'like', 'put']"
2020-06-24,-0.006803580228897846,0.0,116,112,0.029619391109623132,"['statue', 'colston', 'bristol', 'edward', 'people', 'colstonstatue', 'slave', 'history', 'police', 'statues', 'protesters', 'right', 'toppled', 'trader', 'toppling']"
2020-06-23,-0.008273291770618717,0.0,200,1226,0.031095414707461362,"['statue', 'colston', 'bristol', 'people', 'edward', 'police', 'history', 'colstonstatue', 'protesters', 'one', 'slave', 'statues', 'like', 'toppling', 'years']"
2020-06-22,-0.015309372615925979,0.0,927,7908,0.034059775813869084,"['statue', 'colston', 'edward', 'people', 'police', 'bristol', 'protesters', 'colstonstatue', 'images', 'ithe', 'toppling', 'wanted', 'identify', 'appeal', 'protestors']"
2020-06-21,-0.00868914430567298,0.0,118,422,0.0261398931867572,"['statue', 'colston', 'bristol', 'edward', 'people', 'history', 'slave', 'one', 'statues', 'colstonstatue', 'money', 'slavery', 'police', 'would', 'think']"
2020-06-20,-0.01034643842184346,-0.005350041484278889,146,311,0.03379929840032457,"['statue', 'colston', 'bristol', 'people', 'edward', 'slave', 'colstonstatue', 'history', 'trader', 'statues', 'think', 'right', 'years', 'black', 'many']"
2020-06-19,-0.0125764389041191,0.0,269,308,0.03212750564654011,"['statue', 'colston', 'bristol', 'edward', 'history', 'people', 'colstonstatue', 'slave', 'statues', 'slavery', 'black', 'one', 'via', 'attack', 'would']"
2020-06-18,-0.015984340820594307,-0.01,373,777,0.03336688851300732,"['statue', 'colston', 'bristol', 'edward', 'colstonstatue', 'people', 'attack', 'slave', 'african', 'vandalised', 'history', 'enslaved', 'put', 'black', 'retaliation']"
2020-06-17,-0.0033269075815687307,0.0,242,986,0.028749309087151256,"['statue', 'colston', 'bristol', 'edward', 'colstonstatue', 'people', 'history', 'statues', 'amp', 'slavery', 'plinth', 'put', 'rhodes', 'slave', 'black']"
2020-06-30,9.140431220927512e-05,0.0,45,14,0.061363491272885096,"['statue', 'colston', 'people', 'edward', 'black', 'blm', 'years', 'starmer', 'removal', 'ago', 'said', 'statues', 'made', 'removed', 'colstonstatue']"
2020-06-29,-0.004103611524386602,-0.0054496317415062955,112,355,0.07561569728858625,"['statue', 'colston', 'police', 'people', 'bristol', 'images', 'toppled', 'release', 'edward', 'blm', 'amp', 'slave', 'black', 'colstonstatue', 'support']"
2020-06-28,-0.0045998324369139094,0.0,72,183,0.027672254653804663,"['statue', 'colston', 'bristol', 'edward', 'people', 'colstonstatue', 'police', 'like', 'release', 'toppled', 'pulled', 'toppling', 'history', 'river', 'images']"
2020-06-27,-0.0025233909695009174,-0.0053475935828877,83,84,0.056066271798065705,"['statue', 'colston', 'bristol', 'edward', 'people', 'colstonstatue', 'one', 'slave', 'statues', 'history', 'removal', 'council', 'pulled', 'blm', 'put']"
2020-06-26,-0.009225748233101114,0.0,97,111,0.03663987175781517,"['statue', 'colston', 'edward', 'bristol', 'people', 'history', 'slave', 'colstonstatue', 'statues', 'removed', 'amp', 'police', 'black', 'lives', 'like']"
2020-06-07,-0.015197313798299125,-0.010638297872340425,13196,270599,0.03695078557520901,"['statue', 'colston', 'bristol', 'edward', 'slave', 'trader', 'people', 'history', 'pulled', 'city', 'colstonstatue', 'years', 'protesters', 'today', 'replace']"
2020-07-13,-0.01318126289332321,-0.009345794392523364,31,11,0.027671887096124934,"['statue', 'colston', 'bristol', 'edward', 'people', 'toppling', 'lies', 'forlorn', 'lock-up', 'working', 'means', 'slave', 'toppled', 'trader', 'many']"
2020-07-12,-0.00972052566289046,0.0,127,327,0.028265005415848563,"['colston', 'statue', 'bristol', 'toppling', 'edward', 'jimmy', 'lies', 'forlorn', 'lock-up', 'working', 'means', 'savile', 'slave', 'mannequin', 'trader']"
2020-07-11,-0.009120465046098645,0.0,54,199,0.12474433279456905,"['statue', 'colston', 'jimmy', 'edward', 'bristol', 'savile', 'slave', 'mannequin', 'replaces', 'toppled', 'owner', 'trader', 'metrouk', 'via', 'colstonstatue']"
2020-07-10,-0.00663718407540151,0.0,37,31,0.04077930905909685,"['colston', 'statue', 'bristol', 'edward', 'like', 'people', 'pulled', 'virus', 'well', 'man', 'racist', 'colstonstatue', 'left', 'things', 'think']"
2020-07-09,-0.01153972316937265,-0.002617801047120419,32,13,0.029915458946380945,"['colston', 'statue', 'colstonstatue', 'bristol', 'slave', 'people', 'edward', 'amp', 'history', 'slavery', 'forgiveness', 'past', 'good', 'would', 'evil']"
2020-07-08,-0.014772746791725237,-0.011248736097067745,72,151,0.02824457146011513,"['statue', 'colston', 'bristol', 'people', 'edward', 'would', 'history', 'know', 'black', 'amp', 'slavery', 'colstonstatue', 'slave', 'also', 'pulled']"
