,Datetime,Text,Username,Geolocation
61,2020-06-09 23:23:29+00:00,The toppling of Edward Colston's statue is not an attack on history. It is history | David Olusoga ,RDamhof,
62,2020-06-09 23:23:11+00:00,I can't help but think that part of the reason democratic processes didn't 'work' in removing the Colston statue might be that the kimd of people who can be arsed to use the democratic process prefer to focus on using it for more important things.,iagos_monster,
63,2020-06-09 23:23:11+00:00,They should replace the Colston statue with this masterpiece ,SeaYou22,
64,2020-06-09 23:22:31+00:00,"Goalies can use their hands too. Unfortunately, Peter was worse at jumping than Edward Colston's statue.",ShinPadNP,
65,2020-06-09 23:22:22+00:00,"I'm from Bristol, and Colston - and that statue - has been controversial for as long as I can remember. Every time any effort was made to do anything about it, the discussions or actions were shut down, either by politicians that didn't want to know, or by other groups.",wolverinebruise,
66,2020-06-09 23:22:01+00:00,"There are, as I think most people accept, good reasons why the Churchill statue should remain, despite Churchill’s very clear racism and disdain for the British working class. None of these reasons are applicable in the case of Colston.",patrickamon,
67,2020-06-09 23:21:54+00:00,Colston statue was in Bristol,LeuraWalker,
68,2020-06-09 23:21:45+00:00,"We're looking for something to replace the statue of Slave Trader Edward Colston in Bristol, after it was torn down. Perhaps you can turn this pose into a sculpture to take its place?",lofty_london,
69,2020-06-09 23:20:42+00:00,"Fair point but the difference IMO is the Pyramids have historical and aesthetic merit and aren’t in the middle of a city whereas the Colston statue was shit, was erected 200 years after he died, wasn’t even based on his likeness and was in a very prominent position in Bristol.",steinerdrome,
70,2020-06-09 23:19:57+00:00,Can't tell me that *checks notes* Edward Colston deserved a statue more than Ronaldo? My maw knew who Ronaldo was. Not fucking clue about this Colston dude. ,jamesblack1986,
71,2020-06-09 23:18:55+00:00,"He, somewhat, agreed with the tearing down of Colston's statue the other day. Nearly fell off my chair.",FrostyHxC,
72,2020-06-09 23:18:33+00:00,Only 13% of Bristolians supported the statue of Colston being thrown in the harbour by the mob. #DemocracyUnderThreat,AnnetteCath,
73,2020-06-09 23:18:30+00:00,The Edward Colston statue should stay in the sea as it's a great bit of folklore. The rest of the statues should be put into a museum - a hall of shame - not left in pride of place in our towns and cities.,RedPlanetSummit,
74,2020-06-09 23:18:29+00:00,"Furious over the toppling of slave trader Edward Colston in the UK? What about a statue of Paul Stephenson? Stephenson led the Bristol Bus Boycott in 1963, resulting in the city's ban on employees of color being lifted. He was awarded an OBE in 2009. ",nocontextjohno,
75,2020-06-09 23:18:05+00:00,"Haha when was the last time you passed a Norse statue? I’m glad your black friends don’t feel victimised. Many many people of various colours hated the Colston statue. Like I said, do some research.",steinerdrome,
76,2020-06-09 23:17:30+00:00,Bristol+ Colston statue mentioned at George Floyd's funeral today. @ASPolice response = appropriate in circumstances. Result=Bristol likely to become a tourist magnet as a place where we started to acknowledge the ongoing impact and racism borne from slaving,JackieCann2,
77,2020-06-09 23:17:16+00:00,Toppling the statue wasn't so much about what Colston did in the past as what we were doing in the present to remember it. If the BBC showed that program again they would be rightly condemned for it and it should be removed immediately.,NetNeutral101,
78,2020-06-09 23:16:39+00:00,Taking down the Colston statue was the ‘easy’ part. How do we achieve a fairer justice system for BAME citizens? @JoDQC @DavidOlusoga,TurnOffRacism,
79,2020-06-09 23:16:12+00:00,"Oh dear oh dear. Auschwitz stands as a memorial to the horrors. Colston's statue was a celebratory monument. Two vastly different meanings. And pretty sure Auschwitz is in Poland. Checks. Yep, it is.",autiepilot,
80,2020-06-09 23:15:47+00:00,"Can you imagine a statue of Hitler in St Helier, Jersey. Just as upsetting and vile as Colston was in Bristol. Learn by the mistakes of the past and be a part of fixing a better future.",prixpics,
81,2020-06-09 23:15:40+00:00,how does the statue no longer being there impact your every day life? unless of course you were a fan of Edward Colston and everything he did,abelanda81,
82,2020-06-09 23:15:33+00:00,"1/n ""Chucking Colston in the dock is erasing history"": The statue is a very uninteresting example of late 19thC civic architecture of little merit . Thousands of similar, unremarkable examples still exist across the entire country.",R1100GSBlueNose,
83,2020-06-09 23:15:24+00:00,"With respect I suggest you read up on the facts of the Colston statue: who put it up, when it was put up, the ongoing debate around a second plaque etc etc. I also suggest you attempt to have some empathy for Bristol’s black population and stop pretending statues are educational.",steinerdrome,
84,2020-06-09 23:15:16+00:00,I also love Banksy’s idea to put the statue of Colston back... but add chains and bronze statues of the protestors pulling it down. Art. History. Capture a moment in time. Powerful. ,Dreamer34225814,
85,2020-06-09 23:14:34+00:00,"You can't learn from a statue. Statues are symbols, they can't teach you. Documentation of Colston's racism should be used in schools as education, and perhaps writing about this incident will ALSO educate. The statue itself won't do anything to help. It's just a symbol of hate.",PushinUpRoses,
86,2020-06-09 23:14:29+00:00,"They dragged Colston's statue some distance into the Bristol harbour so they can dig up and transport all the stones into the sea. What, don't they want to get sweating in solidarity with all those slaves that built it?",robertcecil1608,
87,2020-06-09 23:13:56+00:00,Imagine how you would recast the bronze from the #colstonstatue Begging bowls for the #Torys ? #begforgiveness #BlackLivesMatterUK,MissPokeno,
88,2020-06-09 23:13:19+00:00,Think it’s the building. The statue has been moved before. The Museum of London Docklands in West India Quay building is Grade I listed. - Colston was Grade II listed .,jatroa,
